ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control
1044939246,2022-01-05 17:24:55,2022-01-05 17:24:55,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1,1,3,10,10,10,10,5,1,10,5,Единая Россия,False,False,False,False,False
1044938588,2022-01-05 17:24:13,2022-01-05 17:24:13,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,2,2,10,10,10,10,9,7,10,10,10,Родина,False,False,False,False,False
1044937525,2022-01-05 17:23:09,2022-01-05 17:23:09,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Полностью не согласен,Полностью не согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,3,1,5,8,4,4,10,4,1,5,3,ЛДПР,True,False,False,False,True
1044935579,2022-01-05 17:21:14,2022-01-05 17:21:14,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Полностью не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,6,10,10,10,10,5,10,10,10,Партия пенсионеров,False,False,False,False,False
1044932592,2022-01-05 17:18:03,2022-01-05 17:18:03,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3,2,5,5,3,8,10,7,1,4,9,Единая Россия,False,False,False,False,False
1044931555,2022-01-05 17:16:59,2022-01-05 17:16:59,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Скорее доверяю,Полностью не доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,2,1,3,2,4,5,1,6,1,4,2,Единая Россия,True,False,False,False,True
1044929925,2022-01-05 17:15:16,2022-01-05 17:15:16,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1,1,1,1,1,1,1,1,1,1,1,Единая Россия,False,True,False,False,True
1044829525,2022-01-05 15:32:10,2022-01-05 15:32:10,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,2,6,6,7,3,9,10,8,3,8,6,Яблоко,False,False,False,False,False
1044828961,2022-01-05 15:31:36,2022-01-05 15:31:36,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Запретить приезжать сюда из других стран,Абсолютно не доверяю,1,1,1,2,1,10,6,10,1,3,1,Единая Россия,False,False,False,False,False
1044828137,2022-01-05 15:30:47,2022-01-05 15:30:47,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1,1,1,8,5,10,3,7,1,5,5,КПРФ,False,False,False,False,False
1044827571,2022-01-05 15:30:12,2022-01-05 15:30:12,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Затрудняюсь ответить,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,4,1,8,10,10,5,3,7,5,8,9,Гражданская платформа,True,False,False,False,True
1044827568,2022-01-05 15:30:12,2022-01-05 15:30:12,Мужской,30-49,сельский населённый пункт,male_30_49,,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,1,6,6,1,6,1,10,1,1,6,Единая Россия,True,False,False,False,True
1044826601,2022-01-05 15:29:11,2022-01-05 15:29:11,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,Затрудняюсь ответить,Скорее доверяю,2,1,2,2,2,2,2,5,1,2,2,Справедливая Россия - За Правду,False,False,False,False,False
1044825991,2022-01-05 15:28:35,2022-01-05 15:28:35,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,8,1,1,2,10,1,1,10,1,2,1,Единая Россия,False,False,False,False,False
1044825674,2022-01-05 15:28:13,2022-01-05 15:28:13,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,1,1,5,5,10,5,9,3,1,3,Единая Россия,False,False,False,False,False
1044825486,2022-01-05 15:28:01,2022-01-05 15:28:01,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не доверяю,2,1,2,2,4,9,4,8,1,2,3,Единая Россия,False,False,False,False,False
1044822867,2022-01-05 15:25:14,2022-01-05 15:25:14,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,,,,,,Полностью не согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно не доверяю,1,1,6,10,6,6,10,6,1,1,3,Справедливая Россия - За Правду,True,False,False,False,True
1044822847,2022-01-05 15:25:12,2022-01-05 15:25:12,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,10,7,7,8,2,10,1,8,10,Справедливая Россия - За Правду,False,False,False,False,False
1044822755,2022-01-05 15:25:07,2022-01-05 15:25:07,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,,,Полностью не согласен,Полностью не согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,3,10,2,9,10,1,10,10,7,Партия пенсионеров,False,False,False,False,False
1044821137,2022-01-05 15:23:27,2022-01-05 15:23:27,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,2,1,1,9,5,10,8,9,1,9,3,КПРФ,False,False,False,False,False
1044820774,2022-01-05 15:23:05,2022-01-05 15:23:05,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Полностью не согласен,Полностью не согласен,Абсолютно не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,10,8,7,10,10,1,8,8,9,Единая Россия,True,False,False,False,True
1044820536,2022-01-05 15:22:50,2022-01-05 15:22:50,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Затрудняюсь ответить,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Полностью не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,3,1,1,5,7,7,1,5,2,2,3,КПРФ,False,False,False,False,False
1044819130,2022-01-05 15:21:21,2022-01-05 15:21:21,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Полностью согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1,1,5,1,1,10,10,9,9,9,3,ЛДПР,False,False,False,False,False
1044818926,2022-01-05 15:21:08,2022-01-05 15:21:08,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1,1,2,6,2,6,6,9,2,8,7,КПРФ,False,False,False,False,False
1044818793,2022-01-05 15:21:01,2022-01-05 15:21:01,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,Запретить приезжать сюда из других стран,Скорее доверяю,1,1,1,1,1,1,8,6,1,2,1,Зелёные,False,False,False,False,False
1044818745,2022-01-05 15:20:58,2022-01-05 15:20:58,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Запретить приезжать сюда из других стран,Скорее не доверяю,3,1,5,4,3,9,7,5,5,5,4,Партия пенсионеров,False,False,False,False,False
1044817585,2022-01-05 15:19:45,2022-01-05 15:19:45,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,6,10,4,6,10,5,7,10,4,ЛДПР,False,False,False,False,False
1044817272,2022-01-05 15:19:25,2022-01-05 15:19:25,Мужской,30-49,сельский населённый пункт,male_30_49,,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,1,1,1,1,6,10,10,1,1,10,Единая Россия,True,True,False,False,True
1044816887,2022-01-05 15:19:01,2022-01-05 15:19:01,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,Полностью не согласен,Абсолютно не согласен,Затрудняюсь ответить,Полностью не доверяю,Скорее доверяю,Скорее не согласен,Не одобряю,Скорее часто,Затрудняюсь ответить,Скорее не доверяю,3,1,3,4,5,6,10,4,3,10,7,КПРФ,True,False,False,False,True
1044816207,2022-01-05 15:18:19,2022-01-05 15:18:19,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1,1,10,5,7,8,3,8,1,1,8,Справедливая Россия - За Правду,False,False,False,False,False
1044815073,2022-01-05 15:17:10,2022-01-05 15:17:10,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1,10,9,9,1,9,1,5,1,3,7,Яблоко,False,True,False,False,True
1044814547,2022-01-05 15:16:38,2022-01-05 15:16:38,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,4,1,5,5,10,5,2,10,1,4,5,Родина,False,False,False,False,False
1044814493,2022-01-05 15:16:34,2022-01-05 15:16:34,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,2,1,5,9,5,6,9,9,5,6,5,КПРФ,False,False,False,False,False
1044814070,2022-01-05 15:16:09,2022-01-05 15:16:09,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Затрудняюсь ответить,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Абсолютно не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,5,1,10,10,5,10,10,1,10,10,10,КПРФ,True,False,False,False,True
1044813986,2022-01-05 15:16:04,2022-01-05 15:16:04,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,5,5,5,5,5,5,5,5,5,5,5,Партия пенсионеров,False,False,False,False,False
1044813684,2022-01-05 15:15:44,2022-01-05 15:15:44,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,2,2,5,1,3,9,5,8,1,1,3,КПРФ,False,False,False,False,False
1044813533,2022-01-05 15:15:33,2022-01-05 15:15:33,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1,1,1,1,3,1,1,8,1,1,1,КПРФ,False,False,False,False,False
