ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control
1049891251,2022-01-10 15:38:34,2022-01-10 15:38:34,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,4,10,7,8,2,10,10,4,2,10,8,ПАРНАС,False,False,False,False,False
1049890696,2022-01-10 15:38:06,2022-01-10 15:38:06,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Затрудняюсь ответить,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,3,5,3,5,6,5,1,1,6,Единая Россия,False,False,False,False,False
1049889722,2022-01-10 15:37:22,2022-01-10 15:37:22,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,Полностью согласен,Скорее не согласен,Затрудняюсь ответить,Полностью не доверяю,Полностью не доверяю,Затрудняюсь ответить,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,10,10,5,6,3,10,6,6,6,6,6,Зелёные,False,False,False,False,False
1049887439,2022-01-10 15:35:33,2022-01-10 15:35:33,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,Затрудняюсь ответить,Скорее не доверяю,1,4,4,5,2,10,5,1,6,8,7,Справедливая Россия - За Правду,False,False,False,False,False
1049885813,2022-01-10 15:34:16,2022-01-10 15:34:16,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью не согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,2,2,1,2,8,1,1,2,3,5,Единая Россия,False,False,False,False,False
1049884900,2022-01-10 15:33:32,2022-01-10 15:33:32,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1,6,4,10,1,8,10,4,1,2,8,Справедливая Россия - За Правду,False,False,False,False,False
1049884281,2022-01-10 15:33:02,2022-01-10 15:33:02,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,2,3,6,5,5,3,7,1,1,5,Единая Россия,False,False,False,False,False
1049883550,2022-01-10 15:32:25,2022-01-10 15:32:25,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,5,8,8,2,10,10,7,3,5,5,Родина,False,False,False,False,False
1049879366,2022-01-10 15:29:04,2022-01-10 15:29:04,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Затрудняюсь ответить,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,Мы должны пускать всех желающих,Затрудняюсь ответить,1,1,6,10,1,10,1,5,1,1,5,ЛДПР,False,False,False,False,False
1049878658,2022-01-10 15:28:31,2022-01-10 15:28:31,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,10,7,10,1,10,4,1,1,4,5,Партия Роста,False,False,False,False,False
1049876554,2022-01-10 15:26:51,2022-01-10 15:26:51,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,1,3,10,6,10,5,5,3,10,7,ЛДПР,False,False,False,False,False
1049876215,2022-01-10 15:26:34,2022-01-10 15:26:34,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,1,10,1,10,10,5,10,10,1,КПРФ,True,False,False,False,True
1049876121,2022-01-10 15:26:30,2022-01-10 15:26:30,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,"Ни согласен, ни несогласен",Абсолютно согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,2,2,1,2,3,1,1,5,2,5,КПРФ,False,False,False,False,False
1049873951,2022-01-10 15:24:41,2022-01-10 15:24:41,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,1,5,10,5,10,10,6,1,1,5,Единая Россия,True,False,False,False,True
1049873369,2022-01-10 15:24:13,2022-01-10 15:24:13,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,2,2,3,5,8,10,10,6,4,4,4,Единая Россия,True,False,False,False,True
1049870569,2022-01-10 15:22:01,2022-01-10 15:22:01,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,5,6,4,9,10,5,5,5,8,6,Единая Россия,False,False,False,False,False
1049870303,2022-01-10 15:21:49,2022-01-10 15:21:49,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,6,7,3,10,5,6,1,1,4,Единая Россия,False,False,False,False,False
1049870011,2022-01-10 15:21:34,2022-01-10 15:21:34,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,Запретить приезжать сюда из других стран,Скорее не доверяю,1,1,1,10,1,10,5,7,1,5,5,Единая Россия,False,False,False,False,False
1049869903,2022-01-10 15:21:30,2022-01-10 15:21:30,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,3,3,6,2,4,3,3,4,4,4,Партия Роста,False,False,True,False,False
1049868677,2022-01-10 15:20:27,2022-01-10 15:20:27,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,,,Не против любого из перечисленных,Затрудняюсь ответить,Скорее согласен,Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,2,10,1,10,2,10,10,5,10,10,2,Зелёные,False,False,False,False,False
1049868480,2022-01-10 15:20:17,2022-01-10 15:20:17,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Скорее не доверяю,1,6,10,10,6,10,10,1,6,6,10,Яблоко,False,False,False,False,False
1049868080,2022-01-10 15:19:57,2022-01-10 15:19:57,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,2,6,8,4,8,4,7,6,7,6,Справедливая Россия - За Правду,False,False,False,False,False
1049867573,2022-01-10 15:19:31,2022-01-10 15:19:31,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,Гомосексуала,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,1,1,5,2,8,3,5,2,2,3,Партия пенсионеров,False,False,False,False,False
1049867507,2022-01-10 15:19:28,2022-01-10 15:19:28,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,Гомосексуала,Иммигранта,,,Затрудняюсь ответить,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,1,1,5,1,8,9,7,1,5,5,Единая Россия,False,False,False,False,False
1049866963,2022-01-10 15:18:58,2022-01-10 15:18:58,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Скорее согласен,Одобряю,Совсем не часто,Мы должны пускать всех желающих,Абсолютно доверяю,1,10,10,10,1,10,1,1,10,10,10,Единая Россия,False,False,False,False,False
1049864458,2022-01-10 15:16:52,2022-01-10 15:16:52,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1,1,1,6,1,9,7,10,1,5,7,Единая Россия,False,False,False,False,False
1049863867,2022-01-10 15:16:23,2022-01-10 15:16:23,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Затрудняюсь ответить,Полностью не согласен,Затрудняюсь ответить,Никогда бы не посетил,Затрудняюсь ответить,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,1,1,5,1,4,5,5,1,10,1,КПРФ,False,False,False,False,False
1049862471,2022-01-10 15:15:14,2022-01-10 15:15:14,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,,,Скорее не согласен,Полностью не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не доверяю,Полностью доверяю,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,1,1,10,1,10,5,5,2,10,2,Справедливая Россия - За Правду,False,False,False,False,False
1049861649,2022-01-10 15:14:34,2022-01-10 15:14:34,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,Человека другой религии,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1,10,1,10,1,10,10,1,6,10,6,Партия Роста,False,False,False,False,False
1049861638,2022-01-10 15:14:34,2022-01-10 15:14:34,Женский,30-49,сельский населённый пункт,female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Скорее согласен,Абсолютно согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1,3,1,1,2,10,1,6,1,7,3,КПРФ,False,False,False,False,False
1049859397,2022-01-10 15:12:45,2022-01-10 15:12:45,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,"Ни согласен, ни несогласен",Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,1,3,8,1,5,5,1,1,10,1,Зелёные,False,False,False,False,False
1049858574,2022-01-10 15:12:03,2022-01-10 15:12:03,Мужской,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,1,10,4,10,10,5,9,9,5,Справедливая Россия - За Правду,False,False,False,True,False
1049857773,2022-01-10 15:11:22,2022-01-10 15:11:22,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Затрудняюсь ответить,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,1,1,7,3,10,10,5,1,10,3,Справедливая Россия - За Правду,False,False,False,False,False
1049856485,2022-01-10 15:10:14,2022-01-10 15:10:14,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,Гомосексуала,,,,Затрудняюсь ответить,"Ни согласен, ни несогласен",Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Одобряю,Не очень часто,Затрудняюсь ответить,Затрудняюсь ответить,1,1,4,10,1,4,5,4,1,1,4,КПРФ,False,False,False,False,False
1049855791,2022-01-10 15:09:38,2022-01-10 15:09:38,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,,,Полностью не согласен,Скорее согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,Запретить приезжать сюда из других стран,Скорее доверяю,1,10,10,10,2,10,10,1,10,10,10,Гражданская платформа,True,False,False,False,True
1049855632,2022-01-10 15:09:29,2022-01-10 15:09:29,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,Запретить приезжать сюда из других стран,Затрудняюсь ответить,5,1,1,10,5,5,10,5,1,1,1,Единая Россия,False,False,False,False,False
1049855546,2022-01-10 15:09:25,2022-01-10 15:09:25,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее не согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,1,5,5,3,6,10,6,5,5,5,ЛДПР,False,False,False,False,False
