ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?"
1069948478,2022-01-24 14:01:32,2022-01-24 14:01:33,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,Человека другой расы,,Иммигранта,,,Скорее согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,3.0,1.0,10.0,1.0,7.0,10.0,10.0,1.0,10.0,1.0,КПРФ
1069933335,2022-01-24 13:52:48,2022-01-24 13:52:48,Женский,до 29,малый город (до 50 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,3.0,5.0,КПРФ
1069929635,2022-01-24 13:50:39,2022-01-24 13:50:39,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,8.0,5.0,10.0,4.0,10.0,10.0,4.0,6.0,7.0,4.0,Справедливая Россия - За Правду
1069897301,2022-01-24 13:32:13,2022-01-24 13:32:13,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,,,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,1.0,1.0,3.0,3.0,10.0,5.0,10.0,1.0,1.0,1.0,КПРФ
1069771915,2022-01-24 12:20:27,2022-01-24 12:20:27,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,1.0,1.0,10.0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,ЛДПР
1069744081,2022-01-24 12:03:22,2022-01-24 12:03:22,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Затрудняюсь ответить,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,Запретить приезжать сюда из других стран,Скорее доверяю,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,1.0,3.0,1.0,ЛДПР
1069688075,2022-01-24 11:29:30,2022-01-24 11:29:30,Женский,до 29,посёлок городского типа,female_29,Наркозависимого,,,,,,Затрудняюсь ответить,"Ни согласен, ни несогласен",Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,3.0,3.0,6.0,4.0,6.0,6.0,5.0,1.0,2.0,4.0,Единая Россия
1069629887,2022-01-24 10:52:43,2022-01-24 10:52:43,Женский,30-49,малый город (до 50 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,3.0,2.0,5.0,2.0,8.0,9.0,7.0,3.0,9.0,7.0,КПРФ
1069624172,2022-01-24 10:48:58,2022-01-24 10:48:58,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,,,,,,Не против любого из перечисленных,Полностью не согласен,Скорее согласен,Абсолютно согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,1.0,7.0,10.0,10.0,2.0,10.0,1.0,1.0,5.0,10.0,10.0,Единая Россия
1069621662,2022-01-24 10:47:18,2022-01-24 10:47:19,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,,,,,,Не против любого из перечисленных,Полностью не согласен,Скорее согласен,Абсолютно согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,1.0,7.0,10.0,10.0,2.0,10.0,1.0,1.0,5.0,10.0,10.0,Единая Россия
1069591841,2022-01-24 10:25:39,2022-01-24 10:25:39,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,,,,,Полностью не согласен,Скорее согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Абсолютно согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,10.0,2.0,10.0,1.0,10.0,10.0,1.0,6.0,7.0,7.0,Яблоко
1069508824,2022-01-24 09:16:51,2022-01-24 09:16:51,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,Иммигранта,,,Полностью не согласен,Полностью согласен,Абсолютно согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Скорее согласен,Затрудняюсь ответить,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,9.0,10.0,10.0,1.0,10.0,10.0,1.0,5.0,10.0,10.0,Коммунистическая партия Коммунисты России
1069496891,2022-01-24 09:06:08,2022-01-24 09:06:08,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Абсолютно согласен,Затрудняюсь ответить,Полностью доверяю,Скорее не доверяю,Скорее согласен,Одобряю,Скорее часто,Мы должны пускать всех желающих,Абсолютно доверяю,1.0,10.0,1.0,5.0,1.0,10.0,3.0,5.0,1.0,1.0,5.0,Единая Россия
1069487218,2022-01-24 08:57:08,2022-01-24 08:57:08,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,Единая Россия
1069479171,2022-01-24 08:49:53,2022-01-24 08:49:53,Женский,до 29,малый город (до 50 тыс. жителей),female_29,Наркозависимого,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Скорее согласен,Никогда бы не посетил,Затрудняюсь ответить,Скорее доверяю,Скорее согласен,Одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,4.0,3.0,1.0,7.0,6.0,6.0,5.0,8.0,3.0,Единая Россия
1069459808,2022-01-24 08:31:52,2022-01-24 08:31:52,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,5.0,1.0,10.0,8.0,9.0,1.0,1.0,4.0,ЛДПР
1069438211,2022-01-24 08:08:44,2022-01-24 08:08:44,Мужской,более 50,средний город (50-100 тыс. жителей),male_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,10.0,1.0,1.0,10.0,1.0,8.0,1.0,1.0,6.0,КПРФ
1069372789,2022-01-24 06:38:39,2022-01-24 06:38:39,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее согласен,Скорее согласен,Затрудняюсь ответить,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Абсолютно не согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,4.0,10.0,10.0,1.0,10.0,4.0,8.0,10.0,10.0,10.0,Яблоко
1069357096,2022-01-24 06:07:26,2022-01-24 06:07:26,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_29,,,,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,1.0,1.0,1.0,1.0,8.0,5.0,5.0,1.0,1.0,1.0,Коммунистическая партия Коммунисты России
1069327144,2022-01-24 04:43:41,2022-01-24 04:43:41,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,Человека другой религии,,Скорее не согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,4.0,3.0,10.0,4.0,10.0,10.0,3.0,4.0,4.0,7.0,Справедливая Россия - За Правду
1069322015,2022-01-24 04:25:39,2022-01-24 04:25:39,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее не согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,1.0,10.0,1.0,10.0,10.0,1.0,1.0,10.0,6.0,Партия пенсионеров
1069319751,2022-01-24 04:16:56,2022-01-24 04:16:56,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Абсолютно согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,10.0,10.0,10.0,1.0,10.0,8.0,1.0,10.0,10.0,10.0,Яблоко
1069302244,2022-01-24 03:03:13,2022-01-24 03:03:13,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,Человека другой религии,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,10.0,6.0,10.0,1.0,10.0,10.0,1.0,5.0,8.0,10.0,Партия пенсионеров
1069236557,2022-01-24 00:04:28,2022-01-24 00:04:28,Мужской,более 50,сельский населённый пункт,male_50,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Затрудняюсь ответить,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Очень часто,Затрудняюсь ответить,Затрудняюсь ответить,2.0,1.0,10.0,10.0,2.0,10.0,9.0,5.0,1.0,8.0,10.0,ЛДПР
1069193922,2022-01-23 23:10:38,2022-01-23 23:10:38,Мужской,более 50,малый город (до 50 тыс. жителей),male_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,1.0,1.0,1.0,10.0,5.0,8.0,1.0,10.0,5.0,Единая Россия
1069191614,2022-01-23 23:08:12,2022-01-23 23:08:12,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,Затрудняюсь ответить,Абсолютно доверяю,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,Единая Россия
1069171290,2022-01-23 22:47:19,2022-01-23 22:47:19,Женский,более 50,сельский населённый пункт,female_50,Наркозависимого,,,,,,Скорее не согласен,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,7.0,3.0,7.0,7.0,8.0,2.0,8.0,1.0,5.0,8.0,Единая Россия
1069016486,2022-01-23 20:54:30,2022-01-23 20:54:30,Женский,более 50,малый город (до 50 тыс. жителей),female_50,,,,,Человека другой религии,,Скорее не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,6.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,Единая Россия
1068896859,2022-01-23 19:38:30,2022-01-23 19:38:30,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Затрудняюсь ответить,Уже посещал,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Скорее доверяю,1.0,10.0,10.0,10.0,1.0,10.0,9.0,3.0,10.0,10.0,10.0,ПАРНАС
1067729104,2022-01-22 22:14:54,2022-01-22 22:14:54,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Полностью согласен,Полностью согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,5.0,10.0,10.0,ЛДПР
1067720261,2022-01-22 22:07:41,2022-01-22 22:07:41,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,5.0,1.0,4.0,6.0,6.0,10.0,3.0,8.0,8.0,8.0,8.0,КПРФ
1067719301,2022-01-22 22:06:57,2022-01-22 22:06:57,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Полностью согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,7.0,7.0,10.0,1.0,10.0,10.0,10.0,5.0,10.0,10.0,Справедливая Россия - За Правду
1067714744,2022-01-22 22:03:21,2022-01-22 22:03:21,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,4.0,1.0,3.0,4.0,3.0,10.0,5.0,8.0,2.0,10.0,5.0,Единая Россия
1067714195,2022-01-22 22:02:57,2022-01-22 22:02:57,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3.0,3.0,5.0,8.0,3.0,7.0,8.0,7.0,5.0,8.0,6.0,Партия Роста
1067705382,2022-01-22 21:55:57,2022-01-22 21:55:57,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,Иммигранта,,,Скорее согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,1.0,10.0,4.0,10.0,10.0,5.0,10.0,10.0,1.0,Зелёные
1067704716,2022-01-22 21:55:26,2022-01-22 21:55:26,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,,,,,,Не против любого из перечисленных,Скорее согласен,Скорее согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,5.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,Партия пенсионеров
