ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?"
1066082140,2022-01-21 18:54:51,2022-01-21 18:54:51,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью согласен,Скорее не согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,10.0,10.0,1.0,10.0,10.0,10.0,1.0,5.0,10.0,ЛДПР
1066079354,2022-01-21 18:53:00,2022-01-21 18:53:00,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,6.0,3.0,10.0,5.0,10.0,10.0,8.0,2.0,10.0,10.0,Гражданская платформа
1066076921,2022-01-21 18:51:19,2022-01-21 18:51:19,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,8.0,8.0,8.0,5.0,9.0,3.0,5.0,3.0,3.0,8.0,ЛДПР
1066074415,2022-01-21 18:49:34,2022-01-21 18:49:34,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Скорее не доверяю,Полностью не доверяю,Скорее не согласен,Затрудняюсь ответить,Не очень часто,Затрудняюсь ответить,Скорее доверяю,1.0,10.0,10.0,10.0,1.0,10.0,5.0,5.0,10.0,10.0,10.0,Партия пенсионеров
1066071353,2022-01-21 18:47:24,2022-01-21 18:47:24,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,3.0,5.0,4.0,2.0,9.0,5.0,5.0,3.0,8.0,5.0,Партия пенсионеров
1066071113,2022-01-21 18:47:13,2022-01-21 18:47:13,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью согласен,Затрудняюсь ответить,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,10.0,10.0,10.0,5.0,10.0,5.0,10.0,1.0,10.0,5.0,Единая Россия
1066070956,2022-01-21 18:47:06,2022-01-21 18:47:06,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,2.0,1.0,8.0,4.0,8.0,5.0,7.0,5.0,6.0,3.0,КПРФ
1066068505,2022-01-21 18:45:25,2022-01-21 18:45:25,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее не согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Не одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,1.0,1.0,7.0,1.0,10.0,1.0,1.0,1.0,7.0,5.0,ЛДПР
1066067955,2022-01-21 18:45:03,2022-01-21 18:45:03,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1.0,1.0,2.0,6.0,2.0,8.0,5.0,5.0,2.0,5.0,3.0,Единая Россия
1066067728,2022-01-21 18:44:55,2022-01-21 18:44:55,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,3.0,5.0,8.0,3.0,10.0,5.0,3.0,4.0,9.0,7.0,Партия пенсионеров
1066066509,2022-01-21 18:44:06,2022-01-21 18:44:06,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,5.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,1.0,Единая Россия
1066064197,2022-01-21 18:42:26,2022-01-21 18:42:26,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Скорее не согласен,Абсолютно не согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,4.0,7.0,10.0,5.0,9.0,10.0,5.0,10.0,10.0,6.0,Зелёные
1066063919,2022-01-21 18:42:15,2022-01-21 18:42:15,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью не согласен,Скорее не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,2.0,2.0,10.0,5.0,10.0,7.0,1.0,2.0,7.0,6.0,ПАРНАС
1066062051,2022-01-21 18:40:58,2022-01-21 18:40:58,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Полностью не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,5.0,1.0,5.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,КПРФ
1066060201,2022-01-21 18:39:40,2022-01-21 18:39:40,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,1.0,3.0,6.0,5.0,5.0,6.0,5.0,2.0,3.0,3.0,3.0,Зелёные
1066059353,2022-01-21 18:39:07,2022-01-21 18:39:07,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,Человека другой расы,,,,,Скорее не согласен,Скорее согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Затрудняюсь ответить,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,3.0,10.0,8.0,10.0,10.0,10.0,10.0,5.0,6.0,10.0,8.0,КПРФ
1066054435,2022-01-21 18:35:47,2022-01-21 18:35:47,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,"Ни согласен, ни несогласен",Скорее не согласен,Мог бы посетить,Затрудняюсь ответить,Скорее не доверяю,Скорее согласен,Затрудняюсь ответить,Скорее часто,Запретить приезжать сюда из других стран,Скорее не доверяю,2.0,6.0,9.0,10.0,9.0,10.0,8.0,7.0,10.0,10.0,8.0,КПРФ
1066053578,2022-01-21 18:35:12,2022-01-21 18:35:12,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,,,,Иммигранта,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,ЛДПР
1066052376,2022-01-21 18:34:24,2022-01-21 18:34:24,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,2.0,1.0,3.0,6.0,6.0,6.0,7.0,8.0,1.0,5.0,2.0,Родина
