ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q22: Neighbors: Homosexuals,Q21: Neighbors: Immigrants/foreign workers,Q23: Neighbors: People of a different religion,Q29: Men make better political leaders than women do,Q36: Homosexual couples are as good parents as other couples,Q212: Political action: Joining unofficial strikes,Q71: Confidence: The Government,Q69: Confidence: The Police,Q80: Confidence: The Women´s Movement,Q227: How often in country´s elections: Voters are bribed,Q130: Immigration policy preference,Q223: Which party would you vote for if there were a national election tomorrow,Q189: Justifiable: For a man to beat his wife,Q182: Justifiable: Homosexuality,Q183: Justifiable: Prostitution,Q184: Justifiable: Abortion,Q190: Justifiable: Parents beating children,Q186: Justifiable: Sex before marriage,Q187: Justifiable: Suicide,Q188: Justifiable: Euthanasia,Q193: Justifiable: Having casual sex
1067696478,2022-01-22 21:49:00,2022-01-22 21:49:00,Мужской,30-49,малый город (до 50 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,5.0,5.0,3.0,8.0,4.0,10.0,1.0,5.0,2.0,Гражданская платформа,False,False,False,False,False,1,2,1,2,2,2,5,3,2,2,4,3,3,0,1.0,1.0,5.0,5.0,3.0,8.0,1.0,5.0,2.0
1067692112,2022-01-22 21:45:48,2022-01-22 21:45:48,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3.0,1.0,3.0,5.0,5.0,10.0,10.0,9.0,1.0,5.0,5.0,Единая Россия,False,False,False,False,False,1,2,2,2,2,2,5,3,2,2,3,4,3,1,3.0,1.0,3.0,5.0,5.0,10.0,1.0,5.0,5.0
1067691450,2022-01-22 21:45:19,2022-01-22 21:45:19,Мужской,30-49,малый город (до 50 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Полностью согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Скорее доверяю,Скорее не согласен,Не одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,3.0,1.0,1.0,6.0,8.0,9.0,9.0,9.0,5.0,9.0,1.0,ЛДПР,False,False,False,False,False,1,2,1,1,2,1,5,2,4,2,2,3,3,0,3.0,1.0,1.0,6.0,8.0,9.0,5.0,9.0,1.0
1067690222,2022-01-22 21:44:25,2022-01-22 21:44:26,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Скорее доверяю,1.0,5.0,5.0,10.0,1.0,10.0,10.0,5.0,8.0,10.0,5.0,КПРФ,False,False,False,False,False,1,2,2,1,2,3,3,2,4,3,2,1,1,0,1.0,5.0,5.0,10.0,1.0,10.0,8.0,10.0,5.0
1067689531,2022-01-22 21:43:58,2022-01-22 21:43:58,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,4.0,1.0,5.0,8.0,2.0,9.0,3.0,8.0,2.0,2.0,9.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,2,5,3,2,2,2,4,2,1,4.0,1.0,5.0,8.0,2.0,9.0,2.0,2.0,9.0
1067688148,2022-01-22 21:42:57,2022-01-22 21:42:57,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,2.0,1.0,5.0,10.0,5.0,10.0,9.0,8.0,3.0,5.0,7.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,2,5,2,2,2,3,4,2,1,2.0,1.0,5.0,10.0,5.0,10.0,3.0,5.0,7.0
1067687539,2022-01-22 21:42:28,2022-01-22 21:42:28,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Скорее согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,8.0,7.0,9.0,5.0,10.0,3.0,2.0,2.0,7.0,8.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,3,2,-1,3,3,3,2,3,0,1.0,8.0,7.0,9.0,5.0,10.0,2.0,7.0,8.0
1067686790,2022-01-22 21:41:54,2022-01-22 21:41:54,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,9.0,1.0,7.0,10.0,5.0,10.0,10.0,5.0,3.0,9.0,7.0,Гражданская сила,False,False,False,False,False,1,2,1,1,2,2,5,3,3,3,4,1,3,0,9.0,1.0,7.0,10.0,5.0,10.0,3.0,9.0,7.0
1067686550,2022-01-22 21:41:42,2022-01-22 21:41:42,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,3.0,3.0,7.0,9.0,3.0,10.0,10.0,7.0,8.0,8.0,10.0,ПАРНАС,False,False,False,False,False,1,2,2,2,2,2,3,2,3,3,2,3,3,0,3.0,3.0,7.0,9.0,3.0,10.0,8.0,8.0,10.0
1067685876,2022-01-22 21:41:11,2022-01-22 21:41:11,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,,Иммигранта,Человека другой религии,,Полностью не согласен,Полностью не согласен,Скорее не согласен,Затрудняюсь ответить,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,2.0,1.0,4.0,5.0,8.0,6.0,7.0,6.0,3.0,10.0,6.0,Яблоко,False,False,False,False,False,1,2,2,1,1,4,5,-1,4,4,3,1,3,0,2.0,1.0,4.0,5.0,8.0,6.0,3.0,10.0,6.0
1067685471,2022-01-22 21:40:53,2022-01-22 21:40:53,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,,Иммигранта,,,Скорее согласен,Полностью согласен,Абсолютно не согласен,Затрудняюсь ответить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,10.0,10.0,10.0,1.0,10.0,10.0,5.0,1.0,10.0,8.0,Справедливая Россия - За Правду,False,False,False,False,False,1,1,2,1,2,2,1,-1,4,3,3,1,3,0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,10.0,8.0
1067682639,2022-01-22 21:38:43,2022-01-22 21:38:43,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,2.0,2.0,2.0,2.0,1.0,8.0,2.0,7.0,2.0,2.0,8.0,КПРФ,False,False,False,False,False,1,2,2,2,2,2,5,3,3,3,3,2,3,0,2.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,8.0
1067681359,2022-01-22 21:37:43,2022-01-22 21:37:43,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Полностью согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Полностью доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,1.0,3.0,3.0,10.0,4.0,10.0,1.0,1.0,10.0,Единая Россия,False,False,False,False,False,2,2,2,2,2,1,5,2,1,3,4,4,3,1,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,10.0
1067680870,2022-01-22 21:37:18,2022-01-22 21:37:18,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,5.0,6.0,3.0,1.0,10.0,10.0,10.0,1.0,7.0,6.0,Единая Россия,True,False,False,False,True,1,2,2,2,2,-1,4,3,2,2,2,4,3,1,1.0,5.0,6.0,3.0,1.0,10.0,1.0,7.0,6.0
1067678831,2022-01-22 21:35:37,2022-01-22 21:35:37,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,3.0,1.0,6.0,5.0,4.0,10.0,3.0,8.0,2.0,8.0,9.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,2,3,2,2,2,3,3,2,1,3.0,1.0,6.0,5.0,4.0,10.0,2.0,8.0,9.0
1067676865,2022-01-22 21:33:55,2022-01-22 21:33:55,Женский,30-49,средний город (50-100 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Затрудняюсь ответить,Затрудняюсь ответить,Абсолютно не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1.0,7.0,10.0,10.0,1.0,10.0,10.0,5.0,5.0,5.0,10.0,Зелёные,False,False,False,True,False,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,7.0,10.0,10.0,1.0,10.0,5.0,5.0,10.0
1067676738,2022-01-22 21:33:49,2022-01-22 21:33:49,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,3.0,8.0,7.0,3.0,9.0,10.0,1.0,7.0,8.0,3.0,Яблоко,False,False,False,False,False,1,2,2,2,2,2,3,3,3,2,-1,-1,3,0,1.0,3.0,8.0,7.0,3.0,9.0,7.0,8.0,3.0
1067676706,2022-01-22 21:33:47,2022-01-22 21:33:47,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Полностью согласен,Скорее согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,3.0,5.0,4.0,1.0,3.0,10.0,10.0,8.0,1.0,1.0,5.0,Единая Россия,False,False,False,False,False,2,2,2,2,2,1,2,3,2,3,2,2,2,1,3.0,5.0,4.0,1.0,3.0,10.0,1.0,1.0,5.0
1067676650,2022-01-22 21:33:44,2022-01-22 21:33:45,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,,,,,,Не против любого из перечисленных,Скорее не согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,7.0,7.0,7.0,6.0,10.0,6.0,5.0,1.0,8.0,8.0,Единая Россия,False,False,False,False,False,2,2,2,2,2,3,5,3,1,2,3,3,3,1,1.0,7.0,7.0,7.0,6.0,10.0,1.0,8.0,8.0
1067675813,2022-01-22 21:33:04,2022-01-22 21:33:04,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Полностью согласен,Скорее не согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,4.0,5.0,10.0,8.0,10.0,10.0,10.0,1.0,10.0,10.0,Единая Россия,False,False,False,False,False,1,2,2,2,2,1,4,2,3,2,3,1,2,1,1.0,4.0,5.0,10.0,8.0,10.0,1.0,10.0,10.0
1067675105,2022-01-22 21:32:32,2022-01-22 21:32:32,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,2.0,2.0,4.0,8.0,9.0,10.0,7.0,8.0,7.0,9.0,8.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,2,5,2,3,3,4,2,3,1,2.0,2.0,4.0,8.0,9.0,10.0,7.0,9.0,8.0
1067675020,2022-01-22 21:32:28,2022-01-22 21:32:28,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,1.0,5.0,7.0,6.0,6.0,9.0,8.0,8.0,8.0,8.0,Патриоты России,False,False,False,False,False,1,2,2,2,2,2,5,3,2,2,3,4,2,0,1.0,1.0,5.0,7.0,6.0,6.0,8.0,8.0,8.0
