ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q22: Neighbors: Homosexuals,Q21: Neighbors: Immigrants/foreign workers,Q23: Neighbors: People of a different religion,Q29: Men make better political leaders than women do,Q36: Homosexual couples are as good parents as other couples,Q212: Political action: Joining unofficial strikes,Q71: Confidence: The Government,Q69: Confidence: The Police,Q80: Confidence: The Women´s Movement,Q227: How often in country´s elections: Voters are bribed,Q130: Immigration policy preference,Q223: Which party would you vote for if there were a national election tomorrow,Q189: Justifiable: For a man to beat his wife,Q182: Justifiable: Homosexuality,Q183: Justifiable: Prostitution,Q184: Justifiable: Abortion,Q190: Justifiable: Parents beating children,Q186: Justifiable: Sex before marriage,Q187: Justifiable: Suicide,Q188: Justifiable: Euthanasia,Q193: Justifiable: Having casual sex,source,Q260: Sex,Q262: Age,source_age,source_sex,self_reported_age,self_reported_sex
1090631142.0,2022-02-09 21:24:18,2022-02-09 21:24:18,Женский,более 50,малый город (до 50 тыс. жителей),female_50,,,,,,Не против любого из перечисленных,Затрудняюсь ответить,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,Единая Россия,False,False,False,False,False,2,2,2,2,2,-1,5,3,2,2,3,3,3,1,1.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,2.0,ours,,,30-49,female,50+,female
1090630941.0,2022-02-09 21:24:06,2022-02-09 21:24:06,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,4.0,1.0,3.0,1.0,1.0,2.0,9.0,1.0,1.0,3.0,Партия пенсионеров,False,True,False,False,True,1,2,1,2,2,2,-1,3,-1,-1,-1,3,3,0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,ours,,,50+,female,50+,female
1090630654.0,2022-02-09 21:23:50,2022-02-09 21:23:50,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,Гомосексуала,Иммигранта,,,Затрудняюсь ответить,Затрудняюсь ответить,Абсолютно не согласен,Затрудняюсь ответить,Полностью не доверяю,Скорее не доверяю,Затрудняюсь ответить,Не одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,1.0,1.0,10.0,2.0,2.0,10.0,6.0,2.0,2.0,1.0,КПРФ,False,False,False,False,False,1,2,1,1,2,-1,-1,-1,4,3,-1,-1,3,0,1.0,1.0,1.0,10.0,2.0,2.0,2.0,2.0,1.0,ours,,,50+,female,50+,female
1090630105.0,2022-02-09 21:23:17,2022-02-09 21:23:17,Женский,более 50,сельский населённый пункт,female_50,Наркозависимого,,Гомосексуала,,,,Полностью не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,7.0,10.0,10.0,3.0,1.0,5.0,1.0,10.0,1.0,ЛДПР,False,True,False,False,True,1,2,1,2,2,4,5,3,3,3,3,1,3,0,1.0,1.0,7.0,10.0,10.0,3.0,1.0,10.0,1.0,ours,,,50+,female,50+,female
1090629881.0,2022-02-09 21:23:05,2022-02-09 21:23:05,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,2.0,8.0,9.0,6.0,10.0,9.0,2.0,2.0,5.0,Единая Россия,False,True,False,False,True,1,2,2,2,2,2,5,3,2,2,4,4,3,1,1.0,1.0,2.0,8.0,9.0,6.0,2.0,2.0,5.0,ours,,,30-49,female,50+,female
1090629877.0,2022-02-09 21:23:04,2022-02-09 21:23:04,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Абсолютно не согласен,Не одобряю,Скорее часто,Запретить приезжать сюда из других стран,Абсолютно не доверяю,1.0,5.0,5.0,9.0,1.0,10.0,10.0,10.0,5.0,1.0,10.0,Партия пенсионеров,True,True,False,False,True,1,2,2,2,2,-1,-1,3,4,4,4,2,4,0,1.0,5.0,5.0,9.0,1.0,10.0,5.0,1.0,10.0,ours,,,50+,female,50+,female
1090629394.0,2022-02-09 21:22:36,2022-02-09 21:22:36,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее не согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,4.0,1.0,5.0,1.0,7.0,7.0,5.0,6.0,9.0,6.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,3,3,3,3,3,2,1,3,0,1.0,4.0,1.0,5.0,1.0,7.0,6.0,9.0,6.0,ours,,,30-49,female,50+,female
1090629318.0,2022-02-09 21:22:30,2022-02-09 21:22:30,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Затрудняюсь ответить,Скорее согласен,Уже посещал,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Не одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,3.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,4.0,Яблоко,True,False,False,False,True,1,2,2,2,2,2,-1,1,2,2,3,2,2,0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,ours,,,50+,female,50+,female
1090629091.0,2022-02-09 21:22:16,2022-02-09 21:22:16,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Скорее согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,3.0,5.0,3.0,5.0,3.0,7.0,3.0,8.0,3.0,Яблоко,False,True,False,False,True,1,1,1,1,1,2,4,3,2,2,2,3,3,0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,8.0,3.0,ours,,,50+,female,50+,female
1090628528.0,2022-02-09 21:21:45,2022-02-09 21:21:45,Женский,более 50,средний город (50-100 тыс. жителей),female_50,,,,,,Не против любого из перечисленных,Скорее согласен,Скорее не согласен,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,5.0,1.0,10.0,6.0,6.0,1.0,6.0,6.0,Партия пенсионеров,True,False,False,False,True,2,2,2,2,2,2,4,3,2,-1,2,-1,3,0,1.0,1.0,1.0,5.0,1.0,10.0,1.0,6.0,6.0,ours,,,50+,female,50+,female
1090628504.0,2022-02-09 21:21:44,2022-02-09 21:21:44,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1.0,1.0,7.0,7.0,3.0,7.0,7.0,1.0,10.0,8.0,7.0,Зелёные,False,False,False,False,False,1,2,2,2,2,2,3,2,2,2,2,2,2,0,1.0,1.0,7.0,7.0,3.0,7.0,10.0,8.0,7.0,ours,,,30-49,female,50+,female
1090627227.0,2022-02-09 21:20:32,2022-02-09 21:20:32,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,,,,,,Не против любого из перечисленных,Затрудняюсь ответить,Затрудняюсь ответить,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,Запретить приезжать сюда из других стран,Абсолютно доверяю,1.0,5.0,4.0,9.0,1.0,10.0,10.0,5.0,5.0,1.0,10.0,Партия пенсионеров,False,False,False,False,False,2,2,2,2,2,-1,-1,3,3,3,1,2,4,0,1.0,5.0,4.0,9.0,1.0,10.0,5.0,1.0,10.0,ours,,,50+,female,50+,female
1090627041.0,2022-02-09 21:20:24,2022-02-09 21:20:24,Женский,более 50,малый город (до 50 тыс. жителей),female_50,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Затрудняюсь ответить,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,Запретить приезжать сюда из других стран,Абсолютно не доверяю,1.0,1.0,10.0,4.0,1.0,5.0,1.0,10.0,5.0,10.0,10.0,КПРФ,False,False,False,False,False,1,2,1,1,2,2,3,-1,4,4,4,1,4,0,1.0,1.0,10.0,4.0,1.0,5.0,5.0,10.0,10.0,ours,,,30-49,female,50+,female
1090627022.0,2022-02-09 21:20:23,2022-02-09 21:20:23,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,2.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,10.0,3.0,Единая Россия,True,False,False,False,True,1,2,2,2,2,2,-1,3,2,-1,2,-1,3,1,2.0,2.0,3.0,4.0,4.0,5.0,5.0,10.0,3.0,ours,,,50+,female,50+,female
1090626341.0,2022-02-09 21:19:45,2022-02-09 21:19:45,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,2.0,4.0,5.0,8.0,9.0,7.0,7.0,7.0,7.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,2,4,-1,2,2,3,3,3,0,1.0,1.0,2.0,4.0,5.0,8.0,7.0,7.0,7.0,ours,,,50+,female,50+,female
1090626162.0,2022-02-09 21:19:35,2022-02-09 21:19:35,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,Абсолютно не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,2.0,2.0,5.0,3.0,5.0,8.0,8.0,2.0,2.0,2.0,Партия пенсионеров,False,False,False,False,False,1,2,2,2,2,2,-1,-1,-1,2,-1,2,3,0,1.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,ours,,,50+,female,50+,female
1090626108.0,2022-02-09 21:19:32,2022-02-09 21:19:32,Женский,более 50,малый город (до 50 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,2.0,4.0,2.0,10.0,3.0,5.0,1.0,2.0,2.0,КПРФ,False,False,False,False,False,1,2,2,2,2,3,5,3,2,3,3,4,3,0,1.0,1.0,2.0,4.0,2.0,10.0,1.0,2.0,2.0,ours,,,30-49,female,50+,female
1090625908.0,2022-02-09 21:19:20,2022-02-09 21:19:20,Мужской,30-49,сельский населённый пункт,female_50,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,3.0,1.0,5.0,5.0,4.0,4.0,3.0,6.0,2.0,3.0,3.0,Единая Россия,False,False,True,True,False,1,1,1,1,2,2,5,3,2,2,4,2,3,1,3.0,1.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,ours,,,50+,female,30-49,male
1090625816.0,2022-02-09 21:19:16,2022-02-09 21:19:16,Мужской,более 50,посёлок городского типа,female_50,Наркозависимого,,,,,,Полностью не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,Яблоко,True,True,False,True,True,1,2,2,2,2,4,5,3,2,2,4,-1,3,0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,ours,,,30-49,female,50+,male
1090625427.0,2022-02-09 21:18:53,2022-02-09 21:18:53,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Полностью не доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,2.0,1.0,8.0,10.0,5.0,10.0,10.0,10.0,5.0,10.0,10.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,1,5,3,3,4,4,2,3,1,2.0,1.0,8.0,10.0,5.0,10.0,5.0,10.0,10.0,ours,,,50+,female,50+,female
